"","motivation","freq","gender"
"discovery","discovery",7,"female"
"discoveries","discoveries",7,"female"
"work","work",7,"female"
"rights","rights",7,"female"
"struggle","struggle",7,"female"
"development","development",5,"female"
"human","human",5,"female"
"life","life",5,"female"
"peace","peace",4,"female"
"efforts","efforts",4,"female"
"nonviolent","nonviolent",4,"female"
"women","women",4,"female"
"recognition","recognition",3,"female"
"elements","elements",3,"female"
"concerning","concerning",3,"female"
"conflict","conflict",3,"female"
"end","end",3,"female"
"northern","northern",3,"female"
"democracy","democracy",3,"female"
"writings","writings",3,"female"
"poetry","poetry",3,"female"
"children","children",3,"female"
"full","full",3,"female"
"participation","participation",3,"female"
"peacebuilding","peacebuilding",3,"female"
"safety","safety",3,"female"
"women<e2><U+0092>s","women<e2><U+0092>s",3,"female"
"method","method",3,"female"
"extraordinary","extraordinary",2,"female"
"services","services",2,"female"
"radium","radium",2,"female"
"nuclear","nuclear",2,"female"
"structure","structure",2,"female"
"important","important",2,"female"
"genetic","genetic",2,"female"
"war","war",2,"female"
"courageous","courageous",2,"female"
"founding","founding",2,"female"
"ireland","ireland",2,"female"
"movement","movement",2,"female"
"put","put",2,"female"
"violent","violent",2,"female"
"humanity","humanity",2,"female"
"suffering","suffering",2,"female"
"imagination","imagination",2,"female"
"inspired","inspired",2,"female"
"descriptions","descriptions",2,"female"
"powerful","powerful",2,"female"
"epic","epic",2,"female"
"american","american",2,"female"
"writing","writing",2,"female"
"novels","novels",2,"female"
"poetic","poetic",2,"female"
"reality","reality",2,"female"
"visionary","visionary",2,"female"
"especially","especially",2,"female"
"system","system",2,"female"
"power","power",2,"female"
"chromosomes","chromosomes",2,"female"
"enzyme","enzyme",2,"female"
"protected","protected",2,"female"
"telomerase","telomerase",2,"female"
"telomeres","telomeres",2,"female"
"editing","editing",2,"female"
"genome","genome",2,"female"
"becquerel","becquerel",1,"female"
"discovered","discovered",1,"female"
"henri","henri",1,"female"
"joint","joint",1,"female"
"phenomena","phenomena",1,"female"
"professor","professor",1,"female"
"radiation","radiation",1,"female"
"rendered","rendered",1,"female"
"researches","researches",1,"female"
"advancement","advancement",1,"female"
"chemistry","chemistry",1,"female"
"compounds","compounds",1,"female"
"element","element",1,"female"
"isolation","isolation",1,"female"
"nature","nature",1,"female"
"polonium","polonium",1,"female"
"remarkable","remarkable",1,"female"
"study","study",1,"female"
"shell","shell",1,"female"
"new","new",1,"female"
"radioactive","radioactive",1,"female"
"synthesis","synthesis",1,"female"
"biochemical","biochemical",1,"female"
"determinations","determinations",1,"female"
"structures","structures",1,"female"
"substances","substances",1,"female"
"techniques","techniques",1,"female"
"xray","xray",1,"female"
"catalytic","catalytic",1,"female"
"conversion","conversion",1,"female"
"course","course",1,"female"
"glycogen","glycogen",1,"female"
"hormones","hormones",1,"female"
"peptide","peptide",1,"female"
"radioimmunoassays","radioimmunoassays",1,"female"
"mobile","mobile",1,"female"
"factors","factors",1,"female"
"growth","growth",1,"female"
"drug","drug",1,"female"
"principles","principles",1,"female"
"treatment","treatment",1,"female"
"control","control",1,"female"
"early","early",1,"female"
"embryonic","embryonic",1,"female"
"audacity","audacity",1,"female"
"horrors","horrors",1,"female"
"oppose","oppose",1,"female"
"assiduous","assiduous",1,"female"
"effort","effort",1,"female"
"ideal","ideal",1,"female"
"mankind","mankind",1,"female"
"nation","nation",1,"female"
"rekindle","rekindle",1,"female"
"revive","revive",1,"female"
"spirit","spirit",1,"female"
"whole","whole",1,"female"
"cause","cause",1,"female"
"lifelong","lifelong",1,"female"
"bringing","bringing",1,"female"
"help","help",1,"female"
"disarmament","disarmament",1,"female"
"weaponfree","weaponfree",1,"female"
"zones","zones",1,"female"
"based","based",1,"female"
"ethnocultural","ethnocultural",1,"female"
"indigenous","indigenous",1,"female"
"justice","justice",1,"female"
"peoples","peoples",1,"female"
"reconciliation","reconciliation",1,"female"
"respect","respect",1,"female"
"social","social",1,"female"
"antipersonnel","antipersonnel",1,"female"
"banning","banning",1,"female"
"clearing","clearing",1,"female"
"mines","mines",1,"female"
"appreciation","appreciation",1,"female"
"characterize","characterize",1,"female"
"idealism","idealism",1,"female"
"lofty","lofty",1,"female"
"perception","perception",1,"female"
"spiritual","spiritual",1,"female"
"vivid","vivid",1,"female"
"clarity","clarity",1,"female"
"deal","deal",1,"female"
"depth","depth",1,"female"
"general","general",1,"female"
"idealistically","idealistically",1,"female"
"island","island",1,"female"
"native","native",1,"female"
"picture","picture",1,"female"
"plastic","plastic",1,"female"
"problems","problems",1,"female"
"sympathy","sympathy",1,"female"
"ages","ages",1,"female"
"middle","middle",1,"female"
"principally","principally",1,"female"
"biographical","biographical",1,"female"
"china","china",1,"female"
"masterpieces","masterpieces",1,"female"
"peasant","peasant",1,"female"
"rich","rich",1,"female"
"truly","truly",1,"female"
"aspirations","aspirations",1,"female"
"emotions","emotions",1,"female"
"entire","entire",1,"female"
"idealistic","idealistic",1,"female"
"latin","latin",1,"female"
"lyric","lyric",1,"female"
"made","made",1,"female"
"name","name",1,"female"
"symbol","symbol",1,"female"
"world","world",1,"female"
"destiny","destiny",1,"female"
"dramatic","dramatic",1,"female"
"interprets","interprets",1,"female"
"israels","israels",1,"female"
"lyrical","lyrical",1,"female"
"outstanding","outstanding",1,"female"
"strength","strength",1,"female"
"touching","touching",1,"female"
"alfred","alfred",1,"female"
"benefit","benefit",1,"female"
"great","great",1,"female"
"magnificent","magnificent",1,"female"
"nobel","nobel",1,"female"
"words","words",1,"female"
"aspect","aspect",1,"female"
"characterized","characterized",1,"female"
"essential","essential",1,"female"
"force","force",1,"female"
"gives","gives",1,"female"
"import","import",1,"female"
"allows","allows",1,"female"
"biological","biological",1,"female"
"come","come",1,"female"
"context","context",1,"female"
"fragments","fragments",1,"female"
"historical","historical",1,"female"
"ironic","ironic",1,"female"
"light","light",1,"female"
"precision","precision",1,"female"
"focused","focused",1,"female"
"she","she",1,"female"
"odorant","odorant",1,"female"
"olfactory","olfactory",1,"female"
"organization","organization",1,"female"
"receptors","receptors",1,"female"
"absurdity","absurdity",1,"female"
"clicheacutes","clicheacutes",1,"female"
"countervoices","countervoices",1,"female"
"flow","flow",1,"female"
"linguistic","linguistic",1,"female"
"musical","musical",1,"female"
"plays","plays",1,"female"
"reveal","reveal",1,"female"
"societys","societys",1,"female"
"subjugating","subjugating",1,"female"
"voices","voices",1,"female"
"zeal","zeal",1,"female"
"contribution","contribution",1,"female"
"sustainable","sustainable",1,"female"
"civilisation","civilisation",1,"female"
"divided","divided",1,"female"
"epicist","epicist",1,"female"
"experience","experience",1,"female"
"female","female",1,"female"
"fire","fire",1,"female"
"scepticism","scepticism",1,"female"
"scrutiny","scrutiny",1,"female"
"subjected","subjected",1,"female"
"immunodeficiency","immunodeficiency",1,"female"
"virus","virus",1,"female"
"function","function",1,"female"
"ribosome","ribosome",1,"female"
"studies","studies",1,"female"
"concentration","concentration",1,"female"
"depicts","depicts",1,"female"
"dispossessed","dispossessed",1,"female"
"frankness","frankness",1,"female"
"landscape","landscape",1,"female"
"prose","prose",1,"female"
"analysis","analysis",1,"female"
"commons","commons",1,"female"
"economic","economic",1,"female"
"governance","governance",1,"female"
"contemporary","contemporary",1,"female"
"master","master",1,"female"
"short","short",1,"female"
"story","story",1,"female"
"brain","brain",1,"female"
"cells","cells",1,"female"
"constitute","constitute",1,"female"
"positioning","positioning",1,"female"
"education","education",1,"female"
"people","people",1,"female"
"right","right",1,"female"
"suppression","suppression",1,"female"
"young","young",1,"female"
"malaria","malaria",1,"female"
"novel","novel",1,"female"
"therapy","therapy",1,"female"
"courage","courage",1,"female"
"monument","monument",1,"female"
"polyphonic","polyphonic",1,"female"
"time","time",1,"female"
"generating","generating",1,"female"
"highintensity","highintensity",1,"female"
"optical","optical",1,"female"
"pulses","pulses",1,"female"
"ultrashort","ultrashort",1,"female"
"directed","directed",1,"female"
"enzymes","enzymes",1,"female"
"evolution","evolution",1,"female"
"armed","armed",1,"female"
"sexual","sexual",1,"female"
"use","use",1,"female"
"violence","violence",1,"female"
"weapon","weapon",1,"female"
"boundaries","boundaries",1,"female"
"crossing","crossing",1,"female"
"encyclopedic","encyclopedic",1,"female"
"form","form",1,"female"
"narrative","narrative",1,"female"
"passion","passion",1,"female"
"represents","represents",1,"female"
"alleviating","alleviating",1,"female"
"approach","approach",1,"female"
"experimental","experimental",1,"female"
"global","global",1,"female"
"poverty","poverty",1,"female"
"centre","centre",1,"female"
"compact","compact",1,"female"
"galaxy","galaxy",1,"female"
"object","object",1,"female"
"supermassive","supermassive",1,"female"
"austere","austere",1,"female"
"beauty","beauty",1,"female"
"existence","existence",1,"female"
"individual","individual",1,"female"
"makes","makes",1,"female"
"universal","universal",1,"female"
"unmistakable","unmistakable",1,"female"
"voice","voice",1,"female"
"discovery1","discovery",192,"male"
"discoveries1","discoveries",152,"male"
"concerning1","concerning",112,"male"
"development1","development",94,"male"
"work1","work",90,"male"
"theory","theory",67,"male"
"contributions","contributions",57,"male"
"structure1","structure",51,"male"
"recognition1","recognition",44,"male"
"economic1","economic",43,"male"
"chemical","chemical",42,"male"
"new1","new",39,"male"
"analysis1","analysis",38,"male"
"fundamental","fundamental",33,"male"
"pioneering","pioneering",32,"male"
"synthesis1","synthesis",32,"male"
"peace1","peace",30,"male"
"human1","human",29,"male"
"studies1","studies",27,"male"
"method1","method",27,"male"
"especially1","especially",27,"male"
"chemistry1","chemistry",27,"male"
"methods","methods",26,"male"
"role","role",25,"male"
"cell","cell",25,"male"
"investigations","investigations",24,"male"
"system1","system",24,"male"
"international","international",24,"male"
"research","research",23,"male"
"contribution1","contribution",23,"male"
"mechanism","mechanism",23,"male"
"reactions","reactions",21,"male"
"invention","invention",20,"male"
"genetic1","genetic",20,"male"
"physics","physics",19,"male"
"effect","effect",19,"male"
"organic","organic",18,"male"
"efforts1","efforts",18,"male"
"connection","connection",17,"male"
"important1","important",17,"male"
"elementary","elementary",17,"male"
"particles","particles",17,"male"
"quantum","quantum",17,"male"
"atomic","atomic",17,"male"
"nuclear1","nuclear",17,"male"
"cells1","cells",17,"male"
"services1","services",16,"male"
"theoretical","theoretical",16,"male"
"molecular","molecular",16,"male"
"art","art",16,"male"
"life1","life",16,"male"
"biological1","biological",15,"male"
"mechanisms","mechanisms",15,"male"
"poetry1","poetry",15,"male"
"radiation1","radiation",14,"male"
"great1","great",14,"male"
"production","production",14,"male"
"field","field",14,"male"
"high","high",14,"male"
"processes","processes",14,"male"
"understanding","understanding",14,"male"
"poetic1","poetic",14,"male"
"use1","use",13,"male"
"determination","determination",13,"male"
"particular","particular",13,"male"
"systems","systems",13,"male"
"peaceful","peaceful",13,"male"
"rendered1","rendered",12,"male"
"researches1","researches",12,"male"
"led","led",12,"male"
"elements1","elements",12,"male"
"application","application",12,"male"
"magnetic","magnetic",12,"male"
"particle","particle",12,"male"
"interaction","interaction",12,"male"
"protein","protein",12,"male"
"regulation","regulation",12,"male"
"experimental1","experimental",11,"male"
"nature1","nature",11,"male"
"called","called",11,"male"
"developed","developed",11,"male"
"design","design",11,"male"
"substances1","substances",11,"male"
"structures1","structures",11,"male"
"organization1","organization",11,"male"
"viruses","viruses",11,"male"
"cause1","cause",11,"male"
"nations","nations",11,"male"
"phenomena1","phenomena",10,"male"
"regarding","regarding",10,"male"
"spectroscopy","spectroscopy",10,"male"
"electron","electron",10,"male"
"light1","light",10,"male"
"principle","principle",10,"male"
"principles1","principles",10,"male"
"decisive","decisive",10,"male"
"form1","form",10,"male"
"proteins","proteins",10,"male"
"acid","acid",10,"male"
"relating","relating",10,"male"
"nerve","nerve",10,"male"
"information","information",10,"male"
"social1","social",10,"male"
"time1","time",10,"male"
"conflict1","conflict",10,"male"
"narrative1","narrative",10,"male"
"markets","markets",10,"male"
"extraordinary1","extraordinary",9,"male"
"energy","energy",9,"male"
"atoms","atoms",9,"male"
"cosmic","cosmic",9,"male"
"neutrino","neutrino",9,"male"
"compounds1","compounds",9,"male"
"origin","origin",9,"male"
"enzymes1","enzymes",9,"male"
"virus1","virus",9,"male"
"problems1","problems",9,"male"
"material","material",9,"male"
"struggle1","struggle",9,"male"
"freedom","freedom",9,"male"
"rights1","rights",9,"male"
"power1","power",9,"male"
"optical1","optical",8,"male"
"based1","based",8,"male"
"properties","properties",8,"male"
"means","means",8,"male"
"nuclei","nuclei",8,"male"
"interpretation","interpretation",8,"male"
"technique","technique",8,"male"
"weak","weak",8,"male"
"deep","deep",8,"male"
"east","east",8,"male"
"nucleic","nucleic",8,"male"
"therapy1","therapy",8,"male"
"control1","control",8,"male"
"war1","war",8,"male"
"cooperation","cooperation",8,"male"
"developing","developing",8,"male"
"world1","world",8,"male"
"solution","solution",8,"male"
"artistic","artistic",8,"male"
"history","history",8,"male"
"writing1","writing",8,"male"
"epic1","epic",8,"male"
"gases","gases",7,"male"
"precision1","precision",7,"male"
"matter","matter",7,"male"
