"","id","name","gender","birthdate","birthplace","deathdate","deathplace","category","year","share","overallmotivation","motivation","affiliations","adjustedBirthdate","decadeFloor","decadeCeiling"
"1",745,"A. Michael Spence","male","1943-00-00","Montclair NJ USA","","","Economic Sciences",2001,"1/3","","for their analyses of markets with asymmetric information","Stanford University; Stanford CA USA",1943-01-01,2000,2009
"2",102,"Aage N. Bohr","male","1922-06-19","Copenhagen Denmark","2009-09-08","Copenhagen Denmark","Physics",1975,"1/3","","for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection","Niels Bohr Institute; Copenhagen Denmark",1922-06-19,1970,1979
"3",779,"Aaron Ciechanover","male","1947-10-01","Haifa British Protectorate of Palestine (now Israel)","","","Chemistry",2004,"1/3","","for the discovery of ubiquitin-mediated protein degradation","Technion - Israel Institute of Technology; Haifa Israel",1947-10-01,2000,2009
"4",259,"Aaron Klug","male","1926-08-11","Zelvas Lithuania","2018-11-20","N/A","Chemistry",1982,"1","","for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes","MRC Laboratory of Molecular Biology; Cambridge United Kingdom",1926-08-11,1980,1989
"5",114,"Abdus Salam","male","1926-01-29","Jhang Maghiāna India (now Pakistan)","1996-11-21","Oxford United Kingdom","Physics",1979,"1/3","","for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current","International Centre for Theoretical Physics; Trieste Italy; Imperial College; London United Kingdom",1926-01-29,1970,1979
"6",982,"Abhijit Banerjee","male","1961-02-21","Mumbai India","","","Economic Sciences",2019,"1/3","","for their experimental approach to alleviating global poverty","Massachusetts Institute of Technology (MIT); Cambridge MA USA",1961-02-21,2010,2019
"7",981,"Abiy Ahmed Ali","male","1976-08-15","Beshasha Ethiopia","","","Peace",2019,"1","","for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea","",1976-08-15,2010,2019
"8",843,"Ada E. Yonath","female","1939-06-22","Jerusalem British Mandate of Palestine (now Israel)","","","Chemistry",2009,"1/3","","for studies of the structure and function of the ribosome","Weizmann Institute of Science; Rehovot Israel",1939-06-22,2000,2009
"9",866,"Adam G. Riess","male","1969-12-16","Washington DC USA","","","Physics",2011,"1/4","","for the discovery of the accelerating expansion of the Universe through observations of distant supernovae","Johns Hopkins University; Baltimore MD USA; Space Telescope Science Institute; Baltimore MD USA",1969-12-16,2010,2019
"10",199,"Adolf Butenandt","male","1903-03-24","Bremerhaven-Lehe Germany","1995-01-18","Munich Germany","Chemistry",1939,"1/2","","for his work on sex hormones","Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie; Berlin-Dahlem Germany; Berlin University; Berlin Germany",1903-03-24,1930,1939
